Name,recall ± std,precision ± std,IoU ± std,chunk_size,chunk_overlap,n_results,recall_mean,recall_std,precision_mean,precision_std,iou_mean,iou_std,Created
ChunkSize_50_Overlap_0_RetrieveResults_1,46.77 ± 40.96,30.95 ± 28.38,24.31 ± 21.62,50,0,1,46.77,40.96,30.95,28.38,24.31,21.62,2025-03-31T11:46:05.000Z
ChunkSize_50_Overlap_0_RetrieveResults_2,67.2 ± 38.07,23.68 ± 18.4,21.62 ± 16.51,50,0,2,67.2,38.07,23.68,18.4,21.62,16.51,2025-03-31T11:46:27.000Z
ChunkSize_50_Overlap_0_RetrieveResults_3,73.86 ± 33.6,17.92 ± 12.33,16.83 ± 11.41,50,0,3,73.86,33.6,17.92,12.33,16.83,11.41,2025-03-31T11:46:53.000Z
ChunkSize_50_Overlap_0_RetrieveResults_4,74.15 ± 33.73,13.49 ± 9.31,12.86 ± 8.76,50,0,4,74.15,33.73,13.49,9.31,12.86,8.76,2025-03-31T11:47:14.000Z
ChunkSize_50_Overlap_0_RetrieveResults_5,75.83 ± 32.77,11.22 ± 7.75,10.82 ± 7.39,50,0,5,75.83,32.77,11.22,7.75,10.82,7.39,2025-03-31T11:47:35.000Z
ChunkSize_50_Overlap_0_RetrieveResults_6,80.53 ± 30.19,10.42 ± 7.43,10.16 ± 7.15,50,0,6,80.53,30.19,10.42,7.43,10.16,7.15,2025-03-31T11:47:56.000Z
ChunkSize_50_Overlap_0_RetrieveResults_7,80.55 ± 30.2,8.9 ± 6.31,8.71 ± 6.1,50,0,7,80.55,30.2,8.9,6.31,8.71,6.1,2025-03-31T11:48:17.000Z
ChunkSize_50_Overlap_0_RetrieveResults_8,81.76 ± 29.79,8.01 ± 5.8,7.88 ± 5.66,50,0,8,81.76,29.79,8.01,5.8,7.88,5.66,2025-03-31T11:48:38.000Z
ChunkSize_50_Overlap_0_RetrieveResults_9,83.17 ± 28.2,7.22 ± 4.99,7.11 ± 4.88,50,0,9,83.17,28.2,7.22,4.99,7.11,4.88,2025-03-31T11:48:59.000Z
ChunkSize_50_Overlap_0_RetrieveResults_10,83.62 ± 28.07,6.62 ± 4.87,6.55 ± 4.8,50,0,10,83.62,28.07,6.62,4.87,6.55,4.8,2025-03-31T11:49:20.000Z
ChunkSize_100_Overlap_0_RetrieveResults_1,48.6 ± 43.89,18.8 ± 19.53,17.15 ± 18.21,100,0,1,48.6,43.89,18.8,19.53,17.15,18.21,2025-03-31T11:49:41.000Z
ChunkSize_100_Overlap_0_RetrieveResults_2,61.47 ± 41.68,12.04 ± 10.72,11.53 ± 10.35,100,0,2,61.47,41.68,12.04,10.72,11.53,10.35,2025-03-31T11:50:02.000Z
ChunkSize_100_Overlap_0_RetrieveResults_3,70.25 ± 39.5,9.36 ± 8.05,9.18 ± 7.95,100,0,3,70.25,39.5,9.36,8.05,9.18,7.95,2025-03-31T11:50:23.000Z
ChunkSize_100_Overlap_0_RetrieveResults_4,83.58 ± 29.44,8.45 ± 6.09,8.37 ± 6.09,100,0,4,83.58,29.44,8.45,6.09,8.37,6.09,2025-03-31T11:50:44.000Z
ChunkSize_100_Overlap_0_RetrieveResults_5,89.71 ± 23.91,7.38 ± 5.36,7.35 ± 5.35,100,0,5,89.71,23.91,7.38,5.36,7.35,5.35,2025-03-31T11:51:05.000Z
ChunkSize_100_Overlap_0_RetrieveResults_6,90.16 ± 23.79,6.2 ± 4.5,6.18 ± 4.49,100,0,6,90.16,23.79,6.2,4.5,6.18,4.49,2025-03-31T11:51:26.000Z
ChunkSize_100_Overlap_0_RetrieveResults_7,93.11 ± 20.31,5.45 ± 3.81,5.44 ± 3.81,100,0,7,93.11,20.31,5.45,3.81,5.44,3.81,2025-03-31T11:51:47.000Z
ChunkSize_100_Overlap_0_RetrieveResults_8,95.95 ± 15.1,4.9 ± 3.26,4.9 ± 3.26,100,0,8,95.95,15.1,4.9,3.26,4.9,3.26,2025-03-31T11:52:08.000Z
ChunkSize_100_Overlap_0_RetrieveResults_9,95.95 ± 15.1,4.37 ± 2.9,4.36 ± 2.9,100,0,9,95.95,15.1,4.37,2.9,4.36,2.9,2025-03-31T11:52:35.000Z
ChunkSize_100_Overlap_0_RetrieveResults_10,97.68 ± 9.92,3.97 ± 2.56,3.97 ± 2.56,100,0,10,97.68,9.92,3.97,2.56,3.97,2.56,2025-03-31T11:52:56.000Z
ChunkSize_150_Overlap_0_RetrieveResults_1,54.56 ± 44.2,13.64 ± 12.94,12.74 ± 11.92,150,0,1,54.56,44.2,13.64,12.94,12.74,11.92,2025-03-31T11:53:16.000Z
ChunkSize_150_Overlap_0_RetrieveResults_2,70.5 ± 39.2,9.31 ± 8.04,9.13 ± 8.04,150,0,2,70.5,39.2,9.31,8.04,9.13,8.04,2025-03-31T11:53:37.000Z
ChunkSize_150_Overlap_0_RetrieveResults_3,81.76 ± 32.32,7.04 ± 5.32,6.97 ± 5.32,150,0,3,81.76,32.32,7.04,5.32,6.97,5.32,2025-03-31T11:54:04.000Z
ChunkSize_150_Overlap_0_RetrieveResults_4,84.48 ± 31.05,5.69 ± 4.53,5.66 ± 4.53,150,0,4,84.48,31.05,5.69,4.53,5.66,4.53,2025-03-31T11:54:25.000Z
ChunkSize_150_Overlap_0_RetrieveResults_5,89.86 ± 25.75,4.86 ± 3.56,4.84 ± 3.55,150,0,5,89.86,25.75,4.86,3.56,4.84,3.55,2025-03-31T11:54:46.000Z
ChunkSize_150_Overlap_0_RetrieveResults_6,91.17 ± 23.59,4.09 ± 2.92,4.08 ± 2.92,150,0,6,91.17,23.59,4.09,2.92,4.08,2.92,2025-03-31T11:55:07.000Z
ChunkSize_150_Overlap_0_RetrieveResults_7,92.86 ± 21.01,3.6 ± 2.5,3.59 ± 2.5,150,0,7,92.86,21.01,3.6,2.5,3.59,2.5,2025-03-31T11:55:28.000Z
ChunkSize_150_Overlap_0_RetrieveResults_8,93.16 ± 20.94,3.16 ± 2.18,3.16 ± 2.18,150,0,8,93.16,20.94,3.16,2.18,3.16,2.18,2025-03-31T11:55:49.000Z
